2,1,649.25,185.99,58.71,48.25,1,-1,-1,-1
2,2,881.53,182.03,36.48,18.70,1,-1,-1,-1
3,1,653.61,185.75,58.83,48.28,1,-1,-1,-1
3,2,896.90,181.88,34.41,17.69,1,-1,-1,-1
4,1,657.60,185.28,59.30,48.54,1,-1,-1,-1
4,2,908.62,179.43,35.32,18.15,1,-1,-1,-1
5,1,659.17,183.55,60.53,49.49,1,-1,-1,-1
5,2,919.68,176.84,37.16,19.11,1,-1,-1,-1
6,1,661.67,181.97,62.18,50.83,1,-1,-1,-1
6,2,931.99,174.86,36.46,18.89,1,-1,-1,-1
7,1,664.25,181.17,63.25,51.54,1,-1,-1,-1
7,2,947.92,174.08,33.25,17.73,1,-1,-1,-1
8,1,667.64,182.39,62.33,50.50,1,-1,-1,-1
8,2,959.24,172.75,33.16,17.68,1,-1,-1,-1
9,1,669.49,181.92,64.17,51.79,1,-1,-1,-1
10,1,671.16,180.95,65.83,52.98,1,-1,-1,-1
11,1,673.32,180.61,66.81,53.48,1,-1,-1,-1
11,10,971.02,170.91,29.40,19.22,1,-1,-1,-1
12,1,675.28,179.71,68.57,54.55,1,-1,-1,-1
12,10,979.61,169.98,28.42,18.53,1,-1,-1,-1
13,1,677.55,179.02,69.87,55.19,1,-1,-1,-1
13,10,985.69,167.88,28.76,18.73,1,-1,-1,-1
14,1,680.22,179.04,70.85,55.46,1,-1,-1,-1
14,10,991.74,167.34,27.45,17.78,1,-1,-1,-1
14,12,1057.99,163.72,19.27,11.69,1,-1,-1,-1
15,1,682.08,178.21,73.28,57.28,1,-1,-1,-1
15,10,997.33,166.40,26.94,17.45,1,-1,-1,-1
15,12,1049.81,163.05,20.34,12.31,1,-1,-1,-1
16,1,685.09,177.77,74.56,57.96,1,-1,-1,-1
16,12,1043.37,161.76,20.45,12.51,1,-1,-1,-1
17,1,688.38,177.23,74.55,57.63,1,-1,-1,-1
17,12,1037.47,161.18,20.61,12.60,1,-1,-1,-1
18,1,691.32,177.09,76.89,59.24,1,-1,-1,-1
19,1,694.17,177.68,77.87,59.65,1,-1,-1,-1
20,1,695.88,177.69,79.90,61.22,1,-1,-1,-1
20,16,34.59,185.79,72.38,48.51,1,-1,-1,-1
20,17,856.46,172.27,31.39,12.46,1,-1,-1,-1
21,1,698.50,178.13,80.29,61.33,1,-1,-1,-1
21,16,76.09,184.07,77.19,49.42,1,-1,-1,-1
21,17,843.37,172.43,31.91,12.85,1,-1,-1,-1
22,1,701.57,178.11,80.89,61.49,1,-1,-1,-1
22,16,126.16,181.94,83.08,51.04,1,-1,-1,-1
22,17,835.74,172.73,32.15,12.95,1,-1,-1,-1
23,1,704.13,178.02,81.62,61.73,1,-1,-1,-1
23,16,180.84,181.35,85.24,50.06,1,-1,-1,-1
24,1,706.05,178.72,81.55,61.32,1,-1,-1,-1
24,16,234.02,180.74,86.09,48.64,1,-1,-1,-1
25,1,707.77,179.69,81.20,60.49,1,-1,-1,-1
25,16,279.72,180.96,86.66,47.01,1,-1,-1,-1
26,1,706.68,180.44,82.46,61.12,1,-1,-1,-1
26,16,323.26,181.06,88.77,46.46,1,-1,-1,-1
27,1,706.19,181.09,82.82,61.09,1,-1,-1,-1
27,16,362.42,181.29,88.67,44.87,1,-1,-1,-1
28,1,705.58,181.90,83.66,61.44,1,-1,-1,-1
28,16,397.11,182.26,86.35,42.88,1,-1,-1,-1
29,1,705.87,182.62,83.47,60.91,1,-1,-1,-1
29,16,432.46,181.84,87.68,42.71,1,-1,-1,-1
30,1,704.74,183.16,85.77,62.32,1,-1,-1,-1
30,16,465.34,182.12,85.43,40.94,1,-1,-1,-1
31,1,703.36,183.92,87.27,63.47,1,-1,-1,-1
31,16,493.01,182.60,83.43,39.51,1,-1,-1,-1
32,1,704.77,185.97,85.16,61.47,1,-1,-1,-1
32,16,519.29,183.57,81.01,38.05,1,-1,-1,-1
32,33,606.60,185.50,51.86,19.80,1,-1,-1,-1
33,1,703.61,188.45,86.17,61.97,1,-1,-1,-1
33,16,542.35,185.64,78.95,36.85,1,-1,-1,-1
33,33,595.36,186.41,52.78,20.15,1,-1,-1,-1
34,1,703.07,190.58,86.49,61.93,1,-1,-1,-1
34,16,563.01,187.96,76.44,35.54,1,-1,-1,-1
35,1,702.43,192.41,86.27,61.34,1,-1,-1,-1
